Date,Price,Open,High,Low,Volume,ChangePct
2022-02-22,73.78,73.93,74.46,73.27,8230000.0,-0.5
2022-02-23,72.32,74.22,74.42,72.22,7840000.0,-1.98
2022-02-24,75.44,71.0,75.78,70.74,15750000.0,4.31
2022-02-25,77.16,76.12,77.24,75.22,12610000.0,2.28
2022-02-28,78.27,77.09,78.87,76.8,16350000.000000002,1.44
2022-03-01,77.44,78.07,78.83,76.54,13930000.0,-1.06
2022-03-02,77.55,77.29,77.81,76.49,6990000.0,0.14
2022-03-03,78.79,77.85,79.36,77.66,10080000.0,1.6
2022-03-04,80.21,78.93,80.45,78.48,9000000.0,1.8
2022-03-07,84.18,80.96,84.39,80.72,19950000.0,4.95
2022-03-08,81.95,84.31,85.4,81.74,14720000.0,-2.65
2022-03-09,80.32,82.38,82.48,80.11,12710000.0,-1.99
2022-03-10,80.16,79.56,80.46,78.44,9550000.0,-0.2
2022-03-11,79.3,80.3,81.09,79.24,7230000.0,-1.07
2022-03-14,79.28,79.68,80.64,78.7,7130000.0,-0.03
2022-03-15,81.98,80.2,82.25,80.1,9570000.0,3.41
2022-03-16,82.51,81.85,82.74,80.84,8260000.0,0.65
2022-03-17,82.69,82.56,83.24,82.42,6340000.0,0.22
2022-03-18,82.37,82.92,83.49,82.24,13470000.0,-0.39
2022-03-21,81.8,82.0,82.76,81.49,7180000.0,-0.69
2022-03-22,82.85,81.87,82.96,81.42,8520000.0,1.28
2022-03-23,82.57,82.48,83.1,82.01,6130000.0,-0.34
2022-03-24,83.7,82.91,83.79,82.76,5500000.0,1.37
2022-03-25,83.94,84.09,84.24,83.21,5480000.0,0.29
2022-03-28,84.43,84.05,84.72,83.68,6180000.0,0.58
2022-03-29,84.62,85.0,85.04,83.65,8950000.0,0.23
2022-03-30,85.5,85.13,85.78,84.63,6830000.0,1.04
2022-03-31,84.71,85.06,86.28,84.71,10080000.0,-0.92
2022-04-01,85.71,84.49,85.79,84.13,6450000.0,1.18
2022-04-04,85.62,85.64,85.91,84.64,6470000.0,-0.11
2022-04-05,86.33,85.86,87.45,85.72,7200000.0,0.83
2022-04-06,86.49,86.17,86.52,85.43,7620000.0,0.19
2022-04-07,87.08,86.3,87.29,85.7,7820000.0,0.68
2022-04-08,86.09,87.16,87.52,85.96,5730000.0,-1.14
2022-04-11,84.58,86.15,86.22,84.35,6750000.0,-1.75
2022-04-12,83.89,84.45,84.84,83.38,8710000.0,-0.82
2022-04-13,83.55,84.37,84.48,83.08,7860000.0,-0.41
2022-04-14,82.81,83.55,83.89,82.78,7160000.0,-0.89
2022-04-18,81.71,83.0,83.61,81.06,6280000.0,-1.33
2022-04-19,81.83,81.76,82.1,81.11,8100000.0,0.15
2022-04-20,81.51,83.03,83.03,81.32,8460000.0,-0.39
2022-04-21,76.18,80.32,81.0,75.98,17710000.0,-6.54
2022-04-22,73.95,76.17,76.37,73.88,15280000.0,-2.93
2022-04-25,74.04,74.0,74.51,71.59,15700000.0,0.12
2022-04-26,73.57,74.05,74.97,73.49,10970000.0,-0.63
2022-04-27,73.27,73.83,75.14,73.18,10990000.0,-0.41
2022-04-28,73.49,73.5,73.91,72.77,11330000.0,0.3
2022-04-29,71.02,72.88,73.45,70.88,14910000.0,-3.36
2022-05-02,69.87,71.1,71.51,68.52,14340000.0,-1.62
2022-05-03,70.76,70.0,71.53,69.57,10420000.0,1.27
2022-05-04,73.06,72.0,73.33,70.73,10860000.0,3.25
2022-05-05,71.84,72.7,72.97,71.2,10380000.0,-1.67
2022-05-06,72.47,71.26,72.86,71.09,9360000.0,0.88
2022-05-09,70.71,71.8,72.08,70.26,10440000.0,-2.43
2022-05-10,69.99,71.0,71.74,68.72,14730000.0,-1.02
2022-05-11,70.2,69.65,71.35,69.54,11130000.0,0.3
2022-05-12,68.51,69.59,70.49,67.22,15360000.0,-2.41
2022-05-13,69.8,69.43,70.19,68.53,8010000.0,1.88
2022-05-16,70.12,69.64,70.72,69.4,7340000.0,0.46
2022-05-17,72.02,70.9,72.03,70.13,8890000.0,2.71
2022-05-18,71.0,71.79,72.25,70.71,10320000.0,-1.42
2022-05-19,70.46,71.09,71.09,69.53,9590000.0,-0.76
2022-05-20,71.22,70.9,71.56,69.98,9750000.0,1.08
2022-05-23,72.55,71.81,72.59,71.46,10380000.0,1.87
2022-05-24,74.67,72.61,74.92,72.17,11130000.0,2.92
2022-05-25,74.79,75.12,75.15,73.59,11190000.0,0.16
2022-05-26,75.04,75.05,75.75,74.77,9430000.0,0.33
2022-05-27,77.43,74.49,77.45,74.17,9440000.0,3.18
2022-05-31,75.69,76.78,76.94,75.17,29710000.0,-2.25
2022-06-01,76.17,75.76,76.63,75.33,7990000.0,0.63
2022-06-02,78.52,76.45,78.65,76.0,9640000.0,3.09
2022-06-03,78.69,78.09,78.94,77.8,9290000.0,0.22
2022-06-06,80.19,81.19,81.49,80.07,12720000.0,1.91
2022-06-07,79.78,79.76,80.18,78.28,7410000.0,-0.51
2022-06-08,78.49,78.98,79.58,78.24,5200000.0,-1.62
2022-06-09,77.34,78.24,78.86,77.3,8350000.0,-1.47
2022-06-10,75.91,76.55,76.9,75.77,8600000.0,-1.85
2022-06-13,72.41,74.58,74.76,71.96,11880000.0,-4.61
2022-06-14,71.48,72.31,73.12,70.26,11410000.0,-1.28
2022-06-15,74.19,72.46,75.55,72.21,12090000.0,3.79
2022-06-16,70.87,72.71,73.08,70.12,12730000.0,-4.47
2022-06-17,70.81,70.64,72.75,70.64,15920000.0,-0.08
2022-06-21,72.73,70.8,73.4,70.8,8470000.0,2.71
2022-06-22,74.69,72.2,75.55,71.85,12690000.0,2.69
2022-06-23,77.2,75.54,77.4,75.32,12500000.0,3.36
2022-06-24,78.02,77.33,78.13,76.63,9320000.0,1.06
2022-06-27,77.89,77.73,78.18,77.36,6560000.0,-0.17
2022-06-28,76.44,77.91,78.33,76.23,6140000.0,-1.86
2022-06-29,76.0,76.1,76.54,75.26,7080000.0,-0.58
2022-06-30,77.46,75.46,78.24,75.32,8870000.0,1.92
2022-07-01,80.56,78.33,80.64,78.09,7720000.0,4.0
2022-07-05,79.11,80.5,80.72,77.56,11280000.0,-1.8
2022-07-06,79.57,79.7,80.2,78.6,7920000.0,0.58
2022-07-07,80.38,79.83,80.57,79.81,5500000.0,1.02
2022-07-08,80.25,79.7,80.43,79.41,5710000.0,-0.16
2022-07-11,80.68,80.0,80.98,79.71,6100000.0,0.54
2022-07-12,79.95,80.55,80.9,79.52,7550000.0,-0.9
2022-07-13,80.26,79.38,81.3,79.07,7550000.0,0.39
2022-07-14,80.13,78.71,80.35,78.52,6120000.0,-0.16
2022-07-15,78.71,78.25,78.85,76.33,8780000.0,-1.77
2022-07-18,77.51,78.33,78.66,77.5,6610000.0,-1.52
2022-07-19,78.93,78.13,79.33,77.92,6400000.0,1.83
2022-07-20,78.32,79.16,79.4,77.86,6320000.0,-0.77
2022-07-21,78.87,78.72,78.96,78.13,7850000.0,0.7
2022-07-22,80.25,80.13,81.8,79.26,11520000.0,1.75
2022-07-25,80.98,80.0,81.04,79.48,5040000.0,0.91
2022-07-26,79.91,80.54,80.62,79.18,6740000.0,-1.32
2022-07-27,80.38,80.03,80.78,79.55,6060000.0,0.59
2022-07-28,84.54,84.81,86.27,84.29,13560000.0,5.18
2022-07-29,84.49,84.5,85.41,84.31,11470000.0,-0.06
2022-08-01,85.31,84.45,85.42,83.56,7000000.0,0.97
2022-08-02,85.67,85.44,86.77,85.2,7660000.0,0.42
2022-08-03,86.46,85.77,86.82,84.36,7640000.0,0.92
2022-08-04,87.98,86.96,88.65,86.45,8680000.0,1.76
2022-08-05,87.98,87.88,88.49,86.94,8640000.0,0.0
2022-08-08,87.52,88.46,88.96,86.78,7240000.0,-0.52
2022-08-09,88.92,88.22,89.11,87.78,5150000.0,1.6
2022-08-10,89.78,89.66,90.08,88.84,5690000.0,0.97
2022-08-11,89.43,90.31,91.03,89.29,7530000.0,-0.39
2022-08-12,90.47,90.18,90.65,89.33,5260000.0,1.16
2022-08-15,91.0,90.48,91.2,90.14,5030000.0,0.59
2022-08-16,90.53,90.54,91.35,90.32,5250000.0,-0.52
2022-08-17,90.2,89.97,90.67,89.74,4180000.0,-0.36
2022-08-18,90.24,90.2,90.63,89.87,5090000.0,0.04
2022-08-19,89.71,90.11,90.59,89.36,5540000.0,-0.59
2022-08-22,88.54,88.93,89.53,88.23,5780000.0,-1.3
2022-08-23,87.98,88.61,88.65,87.63,3470000.0,-0.63
2022-08-24,88.71,88.15,88.78,87.96,5670000.0,0.83
2022-08-25,89.39,89.01,89.46,88.06,5600000.0,0.77
2022-08-26,88.06,89.99,90.56,87.74,7990000.0,-1.49
2022-08-29,87.02,86.98,87.85,86.41,5830000.0,-1.18
2022-08-30,85.7,87.2,87.33,85.21,7390000.0,-1.52
2022-08-31,85.06,85.7,86.27,84.8,6830000.0,-0.75
2022-09-01,86.26,85.33,86.46,84.71,5900000.0,1.41
2022-09-02,85.11,86.45,87.23,84.77,5790000.0,-1.33
2022-09-06,87.37,87.24,88.27,87.02,11080000.0,2.66
2022-09-07,90.24,87.71,90.42,87.61,11370000.0,3.28
2022-09-08,90.27,89.73,91.06,89.63,8850000.0,0.03
2022-09-09,89.9,90.81,90.98,89.83,5700000.0,-0.41
2022-09-12,90.81,90.18,90.85,89.78,5570000.0,1.01
2022-09-13,88.86,90.05,90.47,88.45,5620000.0,-2.15
2022-09-14,88.88,88.36,89.37,88.06,7280000.0,0.02
2022-09-15,86.01,85.44,86.8,84.82,18680000.0,-3.23
2022-09-16,84.79,85.41,85.99,84.5,19190000.0,-1.42
2022-09-19,86.84,84.72,86.9,84.54,8820000.0,2.42
2022-09-20,85.69,85.99,86.45,84.93,6240000.0,-1.32
2022-09-21,83.97,86.0,86.44,83.95,6710000.0,-2.01
2022-09-22,83.54,83.8,84.19,83.03,6750000.0,-0.51
2022-09-23,82.52,82.5,82.67,81.34,6720000.0,-1.22
2022-09-26,81.15,82.47,82.78,80.32,7700000.0,-1.66
2022-09-27,81.08,82.02,82.62,80.11,9250000.0,-0.09
2022-09-28,82.37,82.29,83.03,81.25,8710000.0,1.59
2022-09-29,79.97,82.17,82.35,79.46,8289999.999999999,-2.91
2022-09-30,78.41,80.3,80.6,78.29,12850000.0,-1.95
2022-10-03,81.19,79.83,81.63,79.22,8119999.999999999,3.55
2022-10-04,82.82,81.98,82.89,81.56,8189999.999999999,2.01
2022-10-05,81.77,81.75,82.48,80.52,5470000.0,-1.27
2022-10-06,78.91,81.63,81.73,78.85,8369999.999999999,-3.5
2022-10-07,76.73,78.56,78.64,76.19,7700000.0,-2.76
2022-10-10,76.74,77.03,77.68,76.4,6120000.0,0.01
2022-10-11,76.03,76.25,76.93,75.22,9140000.0,-0.93
2022-10-12,72.75,75.81,76.36,72.62,9720000.0,-4.31
2022-10-13,73.09,71.59,73.57,70.39,13640000.0,0.47
2022-10-14,71.77,73.79,74.84,71.44,8740000.0,-1.81
2022-10-17,73.65,72.8,74.42,72.75,7560000.0,2.62
2022-10-18,75.06,75.55,75.94,74.11,7000000.0,1.91
2022-10-19,73.64,74.24,74.47,72.52,8580000.0,-1.89
2022-10-20,70.64,73.36,73.48,69.81,13020000.0,-4.07
2022-10-21,71.65,71.08,73.0,70.3,11160000.0,1.43
2022-10-24,73.28,72.49,73.69,71.96,9990000.0,2.27
2022-10-25,75.86,73.75,76.09,73.6,9220000.0,3.52
2022-10-26,75.6,75.86,76.53,75.3,6250000.0,-0.34
2022-10-27,75.47,76.05,76.93,75.46,7160000.0,-0.17
2022-10-28,79.03,76.75,79.3,76.65,9120000.0,4.72
2022-10-31,77.5,78.45,79.27,76.76,8270000.0,-1.94
2022-11-01,77.71,78.19,78.19,77.17,5410000.0,0.27
2022-11-02,77.28,77.7,79.82,77.02,7120000.0,-0.55
2022-11-03,78.18,76.74,79.18,76.36,6920000.0,1.16
2022-11-04,78.8,78.6,79.18,77.42,7760000.0,0.79
2022-11-07,77.29,78.73,79.12,76.29,7010000.0,-1.92
2022-11-08,78.27,77.67,79.14,77.16,5520000.0,1.27
2022-11-09,78.2,78.6,79.11,78.0,4940000.0,-0.09
2022-11-10,83.2,81.31,83.77,79.95,9320000.0,6.39
2022-11-11,83.31,83.27,83.85,81.98,5730000.0,0.13
2022-11-14,81.66,83.09,83.78,81.61,7900000.0,-1.98
2022-11-15,82.91,82.52,83.82,82.04,5590000.0,1.53
2022-11-16,84.32,83.06,84.75,83.06,8440000.0,1.7
2022-11-17,82.35,83.26,83.35,81.87,8330000.0,-2.34
2022-11-18,83.2,83.26,83.79,82.57,6660000.0,1.03
2022-11-21,83.6,82.62,83.75,82.62,6590000.0,0.48
2022-11-22,84.11,84.06,84.91,83.71,4110000.000000001,0.61
2022-11-23,84.92,83.54,85.0,83.44,4260000.0,0.96
2022-11-25,85.34,85.27,85.8,85.13,3620000.0,0.49
2022-11-28,83.73,84.33,85.01,83.34,6460000.0,-1.89
2022-11-29,82.49,82.91,83.13,81.97,5400000.0,-1.48
2022-11-30,84.7,82.09,84.9,82.06,9740000.0,2.68
2022-12-01,84.83,85.4,85.97,83.99,5830000.0,0.15
2022-12-02,85.2,83.73,85.21,83.4,6320000.0,0.44
2022-12-05,85.15,85.0,86.03,84.77,5510000.0,-0.06
2022-12-06,85.18,84.91,85.25,83.71,5030000.0,0.04
2022-12-07,85.29,85.16,86.35,84.61,5110000.0,0.13
2022-12-08,85.76,85.27,86.4,84.9,4280000.0,0.55
2022-12-09,84.51,85.56,86.0,84.42,4460000.0,-1.46
2022-12-12,86.55,85.12,86.6,84.8,5350000.0,2.41
2022-12-13,87.15,88.0,88.37,86.0,7180000.0,0.69
2022-12-14,87.05,87.46,88.61,86.34,6110000.0,-0.11
2022-12-15,85.81,86.9,87.05,85.48,6470000.0,-1.42
2022-12-16,84.14,84.6,84.86,83.27,16950000.0,-1.95
2022-12-19,83.52,83.98,84.28,82.96,5680000.0,-0.74
2022-12-20,83.52,83.4,84.04,82.75,4810000.0,0.0
2022-12-21,84.65,83.85,84.95,83.65,5360000.0,1.35
2022-12-22,83.34,84.54,84.54,82.16,4490000.0,-1.55
2022-12-23,84.17,83.0,84.27,83.0,3250000.0,1.0
2022-12-27,84.0,84.1,84.28,83.47,4730000.0,-0.2
2022-12-28,83.16,84.2,84.54,82.97,3540000.0,-1.0
2022-12-29,84.08,83.73,84.69,83.49,3380000.0,1.11
2022-12-30,83.6,83.95,84.02,82.47,4270000.0,-0.57
2023-01-03,83.83,84.37,84.9,82.54,5540000.0,0.28
2023-01-04,84.49,84.36,85.46,83.83,4830000.0,0.79
2023-01-05,82.63,83.61,84.01,82.14,5470000.0,-2.2
2023-01-06,83.65,83.56,84.37,82.82,5240000.0,1.23
2023-01-09,84.07,83.64,84.93,83.49,4750000.0,0.5
2023-01-10,84.54,84.07,84.6,83.37,4920000.0,0.56
2023-01-11,85.0,84.47,85.36,84.22,6150000.0,0.54
2023-01-12,85.07,85.1,85.67,84.39,4650000.0,0.08
2023-01-13,84.68,84.44,84.97,83.75,4940000.0,-0.46
2023-01-17,85.74,85.19,86.47,85.18,8410000.0,1.25
2023-01-18,83.8,85.93,86.04,83.73,6110000.0,-2.26
2023-01-19,82.59,84.06,84.34,82.29,7100000.0,-1.44
2023-01-20,81.82,82.51,82.54,80.5,9430000.0,-0.93
2023-01-23,82.67,81.38,83.22,80.9,6860000.0,1.04
2023-01-24,83.9,82.79,84.2,80.28,6650000.0,1.49
2023-01-25,76.59,80.53,80.99,75.9,28530000.0,-8.71
2023-01-26,76.4,75.1,77.45,74.8,18510000.0,-0.25
2023-01-27,75.58,76.07,76.4,75.51,13240000.0,-1.07
2023-01-30,75.05,75.36,76.35,74.89,10670000.0,-0.7
2023-01-31,74.63,74.54,74.83,73.35,19020000.0,-0.56
2023-02-01,74.24,74.62,75.04,73.34,15190000.0,-0.52
2023-02-02,75.6,73.57,76.84,73.21,18600000.0,1.83
2023-02-03,74.67,75.25,75.44,73.67,11670000.0,-1.23
2023-02-06,75.51,74.6,75.57,74.45,9340000.0,1.12
2023-02-07,76.08,75.37,76.58,74.75,10860000.0,0.75
2023-02-08,75.03,75.98,76.15,74.86,9080000.0,-1.38
2023-02-09,73.27,75.2,75.94,73.12,13160000.0,-2.35
2023-02-10,74.74,73.42,75.25,73.42,9880000.0,2.01
2023-02-13,75.62,75.34,76.01,75.16,8109999.999999999,1.18
2023-02-14,76.03,75.29,76.33,74.8,7090000.0,0.54
2023-02-15,76.94,75.65,77.09,75.65,9350000.0,1.2
2023-02-16,75.69,75.8,76.52,75.66,7800000.0,-1.62
2023-02-17,76.07,75.7,76.48,75.38,9440000.0,0.5
2023-02-21,73.66,75.44,75.53,73.61,11920000.0,-3.17
2023-02-22,73.68,73.98,74.74,73.44,9350000.0,0.03
2023-02-23,72.87,74.37,74.37,72.65,9050000.0,-1.1
2023-02-24,72.92,72.12,73.33,71.8,9130000.0,0.07
2023-02-27,71.86,72.97,73.67,71.68,7030000.0,-1.45
2023-02-28,71.03,71.7,71.85,70.8,11280000.0,-1.16
2023-03-01,69.87,70.86,71.04,69.64,11810000.0,-1.63
2023-03-02,72.21,70.36,72.22,70.12,16070000.0,3.35
2023-03-03,73.83,72.89,73.87,72.18,10720000.0,2.24
2023-03-06,74.4,73.54,74.6,73.41,6890000.0,0.77
2023-03-07,73.75,73.94,74.49,73.02,7310000.0,-0.87
2023-03-08,74.25,73.38,74.38,73.04,5910000.0,0.68
2023-03-09,73.76,74.5,74.99,73.39,7680000.0,-0.66
2023-03-10,73.01,73.99,74.27,72.37,10170000.0,-1.02
2023-03-13,73.29,73.06,75.18,73.0,8390000.0,0.38
2023-03-14,74.55,73.99,74.85,73.43,8640000.0,1.72
2023-03-15,75.52,74.45,75.85,73.93,12030000.0,1.3
2023-03-16,76.23,75.66,76.51,74.83,8900000.0,0.94
2023-03-17,75.67,76.29,76.29,74.74,14140000.0,-0.73
2023-03-20,75.97,75.6,77.0,75.31,7140000.0,0.4
2023-03-21,75.36,76.35,76.35,74.27,6220000.0,-0.8
2023-03-22,74.13,75.31,75.98,74.09,7040000.0,-1.63
2023-03-23,73.81,73.77,75.72,73.37,7540000.0,-0.43
2023-03-24,75.69,73.99,75.75,73.71,5290000.0,2.55
2023-03-27,75.44,75.87,76.06,74.95,5520000.0,-0.33
2023-03-28,75.24,75.5,76.25,74.82,5940000.0,-0.27
2023-03-29,76.11,75.47,76.31,75.47,5680000.0,1.16
2023-03-30,76.59,76.36,77.02,76.17,6190000.0,0.63
2023-03-31,77.08,76.76,77.12,75.98,10120000.0,0.64
2023-04-03,76.67,77.05,77.05,75.8,5780000.0,-0.53
2023-04-04,77.16,76.85,77.68,76.43,6170000.0,0.64
2023-04-05,78.33,77.9,78.95,77.74,8199999.999999999,1.52
2023-04-06,78.97,78.8,79.0,77.96,5430000.0,0.82
2023-04-10,78.43,78.35,78.5,77.31,5650000.0,-0.68
2023-04-11,78.34,78.39,78.61,77.9,6020000.0,-0.11
2023-04-12,78.59,78.69,79.44,78.25,6790000.0,0.32
2023-04-13,78.85,78.42,79.11,77.48,4930000.0,0.33
2023-04-14,78.02,78.39,78.47,77.56,4920000.0,-1.05
2023-04-17,78.54,78.18,78.55,77.79,4390000.0,0.67
2023-04-18,78.3,78.73,79.07,77.94,8150000.0,-0.31
2023-04-19,78.94,78.31,79.17,78.29,3810000.0,0.82
2023-04-20,78.75,78.72,79.1,78.23,4350000.0,-0.24
2023-04-21,78.99,79.44,79.78,78.56,5190000.0,0.3
2023-04-24,79.04,78.51,79.25,78.5,5730000.0,0.06
2023-04-25,77.82,77.73,79.1,77.5,8400000.0,-1.54
2023-04-26,74.07,76.78,76.95,74.03,12660000.0,-4.82
2023-04-27,75.85,74.31,76.52,73.91,8160000.0,2.4
2023-04-28,76.63,75.41,76.7,75.41,10010000.0,1.03
2023-05-01,76.8,76.47,77.38,76.36,5210000.0,0.22
2023-05-02,75.94,76.66,77.02,75.51,7670000.0,-1.12
2023-05-03,75.39,76.26,76.56,75.27,6270000.0,-0.72
2023-05-04,75.51,75.38,75.67,74.56,6040000.0,0.16
2023-05-05,75.51,75.61,76.57,75.18,6220000.0,0.0
2023-05-08,76.06,75.53,76.68,75.28,6750000.0,0.73
2023-05-09,75.58,76.22,76.22,75.19,5590000.0,-0.63
2023-05-10,76.89,76.13,77.16,75.94,5700000.0,1.73
2023-05-11,76.1,76.59,76.84,75.54,6540000.0,-1.03
2023-05-12,77.96,76.89,77.99,76.57,8320000.0,2.44
2023-05-15,77.54,78.47,78.53,76.82,5430000.0,-0.54
2023-05-16,75.84,77.5,77.5,75.69,6220000.0,-2.19
2023-05-17,75.34,76.17,76.28,75.18,5410000.0,-0.66
2023-05-18,75.1,74.75,75.25,74.21,6970000.0,-0.32
2023-05-19,74.48,75.55,75.78,74.47,6340000.0,-0.83
2023-05-22,74.58,74.91,75.17,74.47,4270000.0,0.13
2023-05-23,74.16,74.1,75.2,73.91,8750000.0,-0.56
2023-05-24,74.24,74.15,74.42,73.66,6880000.0,0.11
2023-05-25,73.39,74.18,74.18,72.47,7720000.0,-1.14
2023-05-26,73.92,73.13,74.56,72.6,7170000.0,0.72
2023-05-30,72.69,74.35,74.75,72.55,6870000.0,-1.66
2023-05-31,73.46,72.64,73.77,71.88,11110000.0,1.06
2023-06-01,72.96,73.05,73.43,72.46,6740000.0,-0.68
2023-06-02,73.85,73.04,74.2,72.52,7180000.0,1.22
2023-06-05,73.59,74.15,74.89,73.33,5570000.0,-0.35
2023-06-06,73.38,73.78,74.15,73.36,5650000.0,-0.29
2023-06-07,74.17,73.64,74.5,73.28,6490000.0,1.08
2023-06-08,74.9,74.48,75.12,74.07,9990000.0,0.98
2023-06-09,74.07,74.86,75.2,74.0,6010000.0,-1.11
2023-06-12,73.98,74.41,74.47,73.68,7560000.0,-0.12
2023-06-13,74.35,73.9,74.69,73.75,8580000.0,0.5
2023-06-14,73.4,74.9,74.95,73.29,8890000.0,-1.28
2023-06-15,74.36,73.74,74.52,73.41,10100000.0,1.31
2023-06-16,75.59,74.75,76.42,74.72,23050000.0,1.65
2023-06-20,74.76,75.63,76.17,74.5,7800000.0,-1.1
2023-06-21,75.78,74.45,76.03,73.72,7180000.0,1.36
2023-06-22,75.13,76.07,76.39,75.0,6980000.0,-0.86
2023-06-23,74.17,75.29,75.99,74.0,9080000.0,-1.28
2023-06-26,74.29,74.09,74.79,73.81,5670000.0,0.16
2023-06-27,73.91,74.56,74.8,73.21,5980000.0,-0.51
2023-06-28,73.44,73.95,74.21,73.22,8740000.0,-0.64
2023-06-29,72.81,72.68,73.6,72.51,7190000.0,-0.86
2023-06-30,74.2,72.94,74.31,72.78,9260000.0,1.91
2023-07-03,74.38,73.87,74.47,73.5,2480000.0,0.24
